api_pair_name,status,safe_variant,unsafe_variant,param,safe_mean_ns,unsafe_mean_ns,safe_mean_ms,unsafe_mean_ms,safe_over_unsafe_ratio
candidate_alloc_collections_btree_map_insert_after_unchecked_3418,ok,safe_insert_after,unsafe_insert_after_unchecked,len16384_ops262144,3830889.696,3934247.617,3.83089,3.934248,0.973729
candidate_alloc_collections_btree_map_insert_after_unchecked_3623,ok,safe_insert_after,unsafe_insert_after_unchecked,len16384_ops262144,3951258.926,4306067.636,3.951259,4.306068,0.917603
candidate_alloc_collections_btree_map_insert_before_unchecked_3461,ok,safe_insert_before,unsafe_insert_before_unchecked,len16384_ops262144,3913772.62,4147010.798,3.913773,4.147011,0.943758
candidate_alloc_collections_btree_map_insert_before_unchecked_3641,ok,safe_insert_before,unsafe_insert_before_unchecked,len16384_ops262144,3946006.467,4144436.223,3.946006,4.144436,0.952121
candidate_alloc_collections_btree_set_insert_after_unchecked_2371,ok,safe_insert_after,unsafe_insert_after_unchecked,len16384_ops262144,5860423.331,5886059.896,5.860423,5.88606,0.995645
candidate_alloc_collections_btree_set_insert_after_unchecked_2457,ok,safe_insert_after,unsafe_insert_after_unchecked,len16384_ops262144,5912258.494,5926729.812,5.912258,5.92673,0.997558
candidate_alloc_collections_btree_set_insert_before_unchecked_2389,ok,safe_insert_before,unsafe_insert_before_unchecked,len16384_ops262144,5895549.349,5880035.233,5.895549,5.880035,1.002638
candidate_alloc_collections_btree_set_insert_before_unchecked_2475,ok,safe_insert_before,unsafe_insert_before_unchecked,len16384_ops262144,5792243.869,5964547.367,5.792244,5.964547,0.971112
candidate_alloc_ffi_c_str_from_vec_with_nul_unchecked_635,ok,safe_from_vec_with_nul,unsafe_from_vec_with_nul_unchecked,in16384_ops2097152,46922620.35,38183609.319,46.92262,38.183609,1.228868
candidate_alloc_rc_get_mut_unchecked_1983,ok,safe_get_mut,unsafe_get_mut_unchecked,len16384_ops8388608,20008089.356,18114844.678,20.008089,18.114845,1.104513
candidate_alloc_string_from_utf8_unchecked_1013,ok,safe_from_utf8,unsafe_from_utf8_unchecked,in16384_ops4194304,19095055.644,1978885.808,19.095056,1.978886,9.649397
candidate_alloc_sync_get_mut_unchecked_2688,ok,safe_get_mut,unsafe_get_mut_unchecked,len16384_ops8388608,37450635.019,18176518.831,37.450635,18.176519,2.060385
candidate_core_alloc_layout_from_size_align_unchecked_132,ok,safe_from_size_align,unsafe_from_size_align_unchecked,in65536_ops16777216,19087148.497,16674623.019,19.087148,16.674623,1.144682
candidate_core_alloc_layout_from_size_alignment_unchecked_156,ok,safe_from_size_alignment,unsafe_from_size_alignment_unchecked,in65536_ops16777216,18952285.4,17299103.128,18.952285,17.299103,1.095565
candidate_core_array_ascii_as_ascii_unchecked_39,ok,safe_as_ascii,unsafe_as_ascii_unchecked,in16384_ops4194304,4214700.215,1969334.655,4.2147,1.969335,2.140165
candidate_core_ascii_ascii_char_digit_unchecked_516,ok,safe_digit,unsafe_digit_unchecked,in1048576_ops16777216,9670905.52,8461122.872,9.670906,8.461123,1.142981
candidate_core_ascii_ascii_char_from_u8_unchecked_478,ok,safe_from_u8,unsafe_from_u8_unchecked,in1048576_ops16777216,8097105.994,8016105.153,8.097106,8.016105,1.010105
candidate_core_char_methods_as_ascii_unchecked_1456,ok,safe_as_ascii,unsafe_as_ascii_unchecked,in1048576_ops16777216,7868285.987,8017887.756,7.868286,8.017888,0.981341
candidate_core_char_methods_from_u32_unchecked_237,ok,safe_from_u32,unsafe_from_u32_unchecked,in1048576_ops16777216,11147527.321,8029642.966,11.147527,8.029643,1.388297
candidate_core_char_mod_from_u32_unchecked_141,ok,safe_from_u32,unsafe_from_u32_unchecked,in1048576_ops16777216,11144668.96,8027194.695,11.144669,8.027195,1.388364
candidate_core_ffi_c_str_from_bytes_with_nul_unchecked_388,ok,safe_from_bytes_with_nul,unsafe_from_bytes_with_nul_unchecked,in16384_ops8388608,66193955.987,6673191.465,66.193956,6.673191,9.919385
candidate_core_mem_alignment_new_unchecked_155,ok,safe_new,unsafe_new_unchecked,in65536_ops16777216,14522282.67,8595551.353,14.522283,8.595551,1.689511
candidate_core_num_int_macros_unchecked_add_583,ok,safe_checked_add,unsafe_unchecked_add,in1048576_ops16777216,16114555.025,15659211.494,16.114555,15.659211,1.029078
candidate_core_num_int_macros_unchecked_div_exact_1106,ok,safe_div_exact,unsafe_unchecked_div_exact,in1048576_ops16777216,26621012.442,24567292.358,26.621012,24.567292,1.083596
candidate_core_num_int_macros_unchecked_mul_863,ok,safe_checked_mul,unsafe_unchecked_mul,in1048576_ops16777216,15529053.907,15832432.715,15.529054,15.832433,0.980838
candidate_core_num_int_macros_unchecked_neg_1284,ok,safe_checked_neg,unsafe_unchecked_neg,in1048576_ops16777216,10704278.485,8288318.708,10.704278,8.288319,1.29149
candidate_core_num_int_macros_unchecked_shl_1401,ok,safe_checked_shl,unsafe_unchecked_shl,in1048576_ops16777216,15175478.022,13964579.133,15.175478,13.964579,1.086712
candidate_core_num_int_macros_unchecked_shl_exact_1494,ok,safe_shl_exact,unsafe_unchecked_shl_exact,in1048576_ops16777216,28853245.804,14266368.795,28.853246,14.266369,2.022466
candidate_core_num_int_macros_unchecked_shr_1580,ok,safe_checked_shr,unsafe_unchecked_shr,in1048576_ops16777216,15391386.587,14872066.892,15.391387,14.872067,1.034919
candidate_core_num_int_macros_unchecked_shr_exact_1676,ok,safe_shr_exact,unsafe_unchecked_shr_exact,in1048576_ops16777216,21152284.65,15440047.566,21.152285,15.440048,1.369962
candidate_core_num_int_macros_unchecked_sub_723,ok,safe_checked_sub,unsafe_unchecked_sub,in1048576_ops16777216,15530492.043,15133619.805,15.530492,15.13362,1.026225
candidate_core_num_mod_as_ascii_unchecked_607,ok,safe_as_ascii,unsafe_as_ascii_unchecked,in1048576_ops16777216,8306082.605,8120888.305,8.306083,8.120888,1.022805
candidate_core_num_nonzero_from_mut_unchecked_460,ok,safe_from_mut,unsafe_from_mut_unchecked,in16384_ops8388608,4033447.214,4068998.642,4.033447,4.068999,0.991263
candidate_core_num_nonzero_new_unchecked_419,ok,safe_new,unsafe_new_unchecked,in1048576_ops16777216,8754995.996,8966705.483,8.754996,8.966705,0.976389
candidate_core_num_nonzero_unchecked_add_1723,ok,safe_checked_add,unsafe_unchecked_add,in1048576_ops16777216,16046426.072,15646672.578,16.046426,15.646673,1.025549
candidate_core_num_nonzero_unchecked_mul_1155,ok,safe_checked_mul,unsafe_unchecked_mul,in1048576_ops16777216,16461654.134,16041146.938,16.461654,16.041147,1.026214
candidate_core_num_uint_macros_unchecked_add_886,ok,safe_checked_add,unsafe_unchecked_add,in1048576_ops16777216,15376448.665,15260312.725,15.376449,15.260313,1.00761
candidate_core_num_uint_macros_unchecked_div_exact_1476,ok,safe_div_exact,unsafe_unchecked_div_exact,in1048576_ops16777216,24209358.112,24088998.583,24.209358,24.088999,1.004996
candidate_core_num_uint_macros_unchecked_funnel_shl_502,ok,safe_funnel_shl,unsafe_unchecked_funnel_shl,in1048576_ops16777216,24320926.667,24834566.738,24.320927,24.834567,0.979318
candidate_core_num_uint_macros_unchecked_funnel_shr_529,ok,safe_funnel_shr,unsafe_unchecked_funnel_shr,in1048576_ops16777216,24079320.908,25367596.679,24.079321,25.367597,0.949216
candidate_core_num_uint_macros_unchecked_mul_1274,ok,safe_checked_mul,unsafe_unchecked_mul,in1048576_ops16777216,16321934.697,15557790.328,16.321935,15.55779,1.049117
candidate_core_num_uint_macros_unchecked_shl_1959,ok,safe_checked_shl,unsafe_unchecked_shl,in1048576_ops16777216,14819050.875,14397718.25,14.819051,14.397718,1.029264
candidate_core_num_uint_macros_unchecked_shl_exact_2058,ok,safe_shl_exact,unsafe_unchecked_shl_exact,in1048576_ops16777216,29306672.729,13765992.485,29.306673,13.765992,2.128918
candidate_core_num_uint_macros_unchecked_shr_2144,ok,safe_checked_shr,unsafe_unchecked_shr,in1048576_ops16777216,14803667.328,13205994.9,14.803667,13.205995,1.120981
candidate_core_num_uint_macros_unchecked_shr_exact_2243,ok,safe_shr_exact,unsafe_unchecked_shr_exact,in1048576_ops16777216,19660074.228,13361695.908,19.660074,13.361696,1.471376
candidate_core_num_uint_macros_unchecked_sub_1065,ok,safe_checked_sub,unsafe_unchecked_sub,in1048576_ops16777216,15577614.13,18257702.562,15.577614,18.257703,0.853208
candidate_core_option_unwrap_unchecked_1128,ok,safe,unsafe,len1048576_ops16777216,14009456.527,12608829.045,14.009457,12.608829,1.111083
candidate_core_pin_get_unchecked_mut_1617,ok,safe,unsafe,len16384_ops16777216,8267859.803,8311462.367,8.26786,8.311462,0.994754
candidate_core_pin_into_inner_unchecked_1512,ok,safe,unsafe,len16384_ops16777216,8148984.873,8185926.302,8.148985,8.185926,0.995487
candidate_core_pin_new_unchecked_1347,ok,safe,unsafe,len16384_ops16777216,4061899.22,4007064.463,4.061899,4.007064,1.013685
candidate_core_ptr_mut_ptr_split_at_mut_unchecked_1859,ok,checked_split_at_mut,unchecked_split_at_mut,len4096_ops16777216,13546747.928,12999413.46,13.546748,12.999413,1.042105
candidate_core_ptr_non_null_new_unchecked_233,ok,safe_new,unsafe_new_unchecked,len4096_ops16777216,8235009.067,8165860.681,8.235009,8.165861,1.008468
candidate_core_result_unwrap_err_unchecked_1685,ok,safe,unsafe,len1048576_ops16777216,12715527.738,12118683.752,12.715528,12.118684,1.04925
candidate_core_result_unwrap_unchecked_1650,ok,safe,unsafe,len1048576_ops16777216,13251164.985,12704079.385,13.251165,12.704079,1.043064
candidate_core_slice_ascii_as_ascii_unchecked_45,ok,safe_as_ascii,unsafe_as_ascii_unchecked,in16384_ops4194304,4398265.073,1957114.172,4.398265,1.957114,2.247322
candidate_core_slice_mod_split_at_mut_unchecked_2092,ok,safe_split_at_mut,unsafe_split_at_mut_unchecked,len4096_ops16777216,13838978.502,13292016.163,13.838979,13.292016,1.04115
candidate_core_slice_mod_split_at_unchecked_2038,ok,safe_split_at,unsafe_split_at_unchecked,len4096_ops16777216,14832979.078,13155956.003,14.832979,13.155956,1.127473
candidate_core_slice_mod_swap_unchecked_948,ok,safe_swap,unsafe_swap_unchecked,len4096_ops16777216,40753352.688,40705740.212,40.753353,40.70574,1.00117
candidate_core_str_converts_from_utf8_unchecked_178,ok,safe_from_utf8,unsafe_from_utf8_unchecked,in16384_ops4194304,20511309.656,2027518.926,20.51131,2.027519,10.116458
candidate_core_str_converts_from_utf8_unchecked_mut_208,ok,safe_from_utf8,unsafe_from_utf8_unchecked,in16384_ops4194304,19906862.919,1999222.825,19.906863,1.999223,9.957301
candidate_core_str_mod_as_ascii_unchecked_2808,ok,safe_as_ascii,unsafe_as_ascii_unchecked,in16384_ops4194304,22766305.15,20454672.804,22.766305,20.454673,1.113012
candidate_core_str_mod_from_utf8_unchecked_316,ok,safe_from_utf8,unsafe_from_utf8_unchecked,in16384_ops4194304,19058891.747,1981221.29,19.058892,1.981221,9.619769
candidate_core_str_mod_from_utf8_unchecked_mut_341,ok,safe_from_utf8,unsafe_from_utf8_unchecked,in16384_ops4194304,19211593.144,1965842.732,19.211593,1.965843,9.772701
