family,label,api_pair_name,o1_safe_ms,o1_unsafe_ms,o1_ratio,o2_safe_ms,o2_unsafe_ms,o2_ratio,o3_safe_ms,o3_unsafe_ms,o3_ratio,previous_o2_ratio
Encoding,str::from_utf8,candidate_core_str_converts_from_utf8_unchecked_178,20.488861,2.176577,9.413341,24.102723,2.211279,10.899901,22.092382,2.304587,9.586266,10.116458
Encoding,CStr::from_bytes_with_nul,candidate_core_ffi_c_str_from_bytes_with_nul_unchecked_388,74.78298,7.8099,9.575408,72.957624,8.285115,8.805868,74.829889,7.491631,9.988464,9.919385
Arithmetic,u32::shl_exact,candidate_core_num_uint_macros_unchecked_shl_exact_2058,34.634586,20.102377,1.72291,33.307311,17.042153,1.954407,33.573189,17.466336,1.922166,2.128918
Arithmetic,i32::shl_exact,candidate_core_num_int_macros_unchecked_shl_exact_1494,33.31345,19.718787,1.689427,32.600038,16.551014,1.96967,32.815112,16.640476,1.972006,2.022466
Arithmetic,u32::shr_exact,candidate_core_num_uint_macros_unchecked_shr_exact_2243,23.168923,18.697839,1.239123,23.958947,18.589248,1.28886,23.257902,17.117218,1.358743,1.471376
Arithmetic,i32::checked_neg,candidate_core_num_int_macros_unchecked_neg_1284,11.433395,10.8898,1.049918,11.375896,11.111695,1.023777,12.569271,10.119064,1.242138,1.29149
Validity,slice::as_ascii,candidate_core_slice_ascii_as_ascii_unchecked_45,6.523101,2.29147,2.846688,6.597092,2.327661,2.834216,5.135315,2.289608,2.24288,2.247322
Validity,char::from_u32,candidate_core_char_mod_from_u32_unchecked_141,14.587397,9.724275,1.500101,13.80774,9.240607,1.494246,12.91533,9.171427,1.408214,1.388364
Validity,Alignment::new,candidate_core_mem_alignment_new_unchecked_155,16.129496,9.66747,1.66843,16.272977,9.785331,1.662997,16.945208,10.786986,1.570894,1.689511
Aliasing,Arc::get_mut,candidate_alloc_sync_get_mut_unchecked_2688,25.581329,20.04726,1.276051,40.851768,20.037202,2.038796,41.461931,20.082997,2.064529,2.060385
Aliasing,Rc::get_mut,candidate_alloc_rc_get_mut_unchecked_1983,22.19073,19.928259,1.113531,21.860311,20.118314,1.086588,22.23094,20.08561,1.106809,1.104513
Aliasing,Pin::get_unchecked_mut,candidate_core_pin_get_unchecked_mut_1617,9.39058,9.220736,1.01842,9.548476,8.136679,1.17351,9.943945,10.156001,0.97912,0.994754
Bounds,slice::split_at,candidate_core_slice_mod_split_at_unchecked_2038,16.512446,14.264146,1.157619,13.57586,12.86278,1.055438,16.172235,15.458398,1.046178,1.127473
Bounds,slice::swap,candidate_core_slice_mod_swap_unchecked_948,47.75119,46.33791,1.030499,42.026021,42.0871,0.998549,45.50846,45.509042,0.999987,1.00117
Variant,Option::unwrap,candidate_core_option_unwrap_unchecked_1128,18.781999,21.194472,0.886174,18.910965,19.702243,0.959838,18.256226,17.364419,1.051358,1.111083
Variant,Result::unwrap_err,candidate_core_result_unwrap_err_unchecked_1685,20.538678,17.64828,1.163778,19.351279,19.70014,0.982291,18.046773,17.414984,1.036278,1.04925
Ordering,BTreeMap::insert_after,candidate_alloc_collections_btree_map_insert_after_unchecked_3623,6.462193,6.30128,1.025536,6.434832,6.348799,1.013551,4.483133,4.443022,1.009028,0.917603
Ordering,BTreeSet::insert_before,candidate_alloc_collections_btree_set_insert_before_unchecked_2475,5.983343,5.986184,0.999525,6.475969,7.609139,0.851078,6.493781,6.634534,0.978785,0.971112
Layout,Layout::from_size_align,candidate_core_alloc_layout_from_size_align_unchecked_132,30.054021,19.484949,1.542422,21.221816,19.033794,1.114955,21.101748,18.869783,1.118282,1.144682
Layout,Layout::from_size_alignment,candidate_core_alloc_layout_from_size_alignment_unchecked_156,19.109734,19.272289,0.991565,19.382986,19.561081,0.990895,19.553268,19.099666,1.023749,1.095565
