family,label,api_pair_name,o1_safe_ms,o1_unsafe_ms,o1_ratio,o2_safe_ms,o2_unsafe_ms,o2_ratio,o3_safe_ms,o3_unsafe_ms,o3_ratio,os_safe_ms,os_unsafe_ms,os_ratio,oz_safe_ms,oz_unsafe_ms,oz_ratio
Encoding,str::from_utf8,candidate_core_str_converts_from_utf8_unchecked_178,20.488861,2.176577,9.413341,24.102723,2.211279,10.899901,22.092382,2.304587,9.586266,22.355488,2.240171,9.979366,24.850158,2.275492,10.920787
Encoding,CStr::from_bytes_with_nul,candidate_core_ffi_c_str_from_bytes_with_nul_unchecked_388,74.78298,7.8099,9.575408,72.957624,8.285115,8.805868,74.829889,7.491631,9.988464,79.497759,7.863125,10.1102,85.517188,13.392547,6.385431
Arithmetic,u32::shl_exact,candidate_core_num_uint_macros_unchecked_shl_exact_2058,34.634586,20.102377,1.72291,33.307311,17.042153,1.954407,33.573189,17.466336,1.922166,33.548762,17.717221,1.893568,31.84832,18.190449,1.750826
Arithmetic,i32::shl_exact,candidate_core_num_int_macros_unchecked_shl_exact_1494,33.31345,19.718787,1.689427,32.600038,16.551014,1.96967,32.815112,16.640476,1.972006,36.175488,18.252487,1.981948,31.414304,17.42474,1.802856
Arithmetic,u32::shr_exact,candidate_core_num_uint_macros_unchecked_shr_exact_2243,23.168923,18.697839,1.239123,23.958947,18.589248,1.28886,23.257902,17.117218,1.358743,30.178971,17.437916,1.730652,30.001412,18.088701,1.658572
Arithmetic,i32::checked_neg,candidate_core_num_int_macros_unchecked_neg_1284,11.433395,10.8898,1.049918,11.375896,11.111695,1.023777,12.569271,10.119064,1.242138,14.540118,12.364516,1.175955,12.520822,11.131988,1.124761
Validity,slice::as_ascii,candidate_core_slice_ascii_as_ascii_unchecked_45,6.523101,2.29147,2.846688,6.597092,2.327661,2.834216,5.135315,2.289608,2.24288,5.108075,2.310007,2.211281,7.118255,2.294465,3.102359
Validity,char::from_u32,candidate_core_char_mod_from_u32_unchecked_141,14.587397,9.724275,1.500101,13.80774,9.240607,1.494246,12.91533,9.171427,1.408214,13.047913,9.267968,1.407851,14.242676,9.055049,1.572899
Validity,Alignment::new,candidate_core_mem_alignment_new_unchecked_155,16.129496,9.66747,1.66843,16.272977,9.785331,1.662997,16.945208,10.786986,1.570894,16.277249,10.147434,1.604075,13.813902,9.741221,1.418087
Aliasing,Arc::get_mut,candidate_alloc_sync_get_mut_unchecked_2688,25.581329,20.04726,1.276051,40.851768,20.037202,2.038796,41.461931,20.082997,2.064529,25.467257,19.764255,1.288551,26.449759,21.727649,1.217332
Aliasing,Rc::get_mut,candidate_alloc_rc_get_mut_unchecked_1983,22.19073,19.928259,1.113531,21.860311,20.118314,1.086588,22.23094,20.08561,1.106809,21.667902,19.728348,1.098313,21.442184,20.368537,1.052711
Aliasing,Pin::get_unchecked_mut,candidate_core_pin_get_unchecked_mut_1617,9.39058,9.220736,1.01842,9.548476,8.136679,1.17351,9.943945,10.156001,0.97912,9.708786,9.812286,0.989452,10.344001,10.607577,0.975152
Bounds,slice::split_at,candidate_core_slice_mod_split_at_unchecked_2038,16.512446,14.264146,1.157619,13.57586,12.86278,1.055438,16.172235,15.458398,1.046178,17.09532,16.147419,1.058703,19.525951,20.22599,0.965389
Bounds,slice::swap,candidate_core_slice_mod_swap_unchecked_948,47.75119,46.33791,1.030499,42.026021,42.0871,0.998549,45.50846,45.509042,0.999987,45.150827,45.172934,0.999511,47.8022,46.044853,1.038166
Variant,Option::unwrap,candidate_core_option_unwrap_unchecked_1128,18.781999,21.194472,0.886174,18.910965,19.702243,0.959838,18.256226,17.364419,1.051358,20.681894,20.109102,1.028484,28.864003,28.103232,1.027071
Variant,Result::unwrap_err,candidate_core_result_unwrap_err_unchecked_1685,20.538678,17.64828,1.163778,19.351279,19.70014,0.982291,18.046773,17.414984,1.036278,20.168741,20.256077,0.995688,28.100881,27.375512,1.026497
Ordering,BTreeMap::insert_after,candidate_alloc_collections_btree_map_insert_after_unchecked_3623,6.462193,6.30128,1.025536,6.434832,6.348799,1.013551,4.483133,4.443022,1.009028,10.349051,10.148017,1.01981,16.063631,15.038685,1.068154
Ordering,BTreeSet::insert_before,candidate_alloc_collections_btree_set_insert_before_unchecked_2475,5.983343,5.986184,0.999525,6.475969,7.609139,0.851078,6.493781,6.634534,0.978785,9.997032,9.814339,1.018615,14.207121,13.42564,1.058208
Layout,Layout::from_size_align,candidate_core_alloc_layout_from_size_align_unchecked_132,30.054021,19.484949,1.542422,21.221816,19.033794,1.114955,21.101748,18.869783,1.118282,28.252325,19.044441,1.483495,29.694185,20.752903,1.430845
Layout,Layout::from_size_alignment,candidate_core_alloc_layout_from_size_alignment_unchecked_156,19.109734,19.272289,0.991565,19.382986,19.561081,0.990895,19.553268,19.099666,1.023749,20.082688,18.960789,1.059169,19.442714,19.28639,1.008105
